Species name standardized against TPL,Taxonomic level,Phylogenetic Group General,Growth Form,Leaf type,Leaf area (mm2),Leaf area (n.o.),Nmass (mg/g),Nmass (n.o.),LMA (g/m2),LMA (n.o.),Plant height (m),Plant height (n.o.),Diaspore mass (mg),Diaspore mass (n.o.),SSD observed (mg/mm3),SSD (n.o.),LDMC (g/g),LDMC (n.o.),SSD imputed (mg/mm3),SSD combined (mg/mm3),Number of traits with values
Posoqueria longiflora,species,Angiosperm,tree,broadleaved,11053.72,3,16.361,2,65.156,2,,,,,0.437,4,,,,0.437,4
Potalia resinifera,species,Angiosperm,tree,broadleaved,36047.6,2,23.559,2,75.087,2,,,,,,,,,,,3
Potoxylon melagangai,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.646,6,,,,0.646,1
Poulsenia armata,species,Angiosperm,tree,broadleaved,21614.12,40,17.439,17,92.251,100,36.404,10,72.043,9,0.397,32,,,,0.397,6
Pourouma apiculata,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.45,2,,,,0.45,1
Pourouma bicolor,species,Angiosperm,tree,broadleaved,80875.08,31,19.394,25,90.116,71,18.782,21,319.56,2,0.37,40,,,,0.37,6
Pourouma cecropiifolia,species,Angiosperm,tree,broadleaved,19938.67,5,20.065,3,76.73,9,21.011,7,500,6,0.34,11,,,,0.34,6
Pourouma cucura,species,Angiosperm,tree,broadleaved,4513.59,3,21.27,3,127.551,3,30,4,,,0.64,3,,,,0.64,5
Pourouma guianensis,species,Angiosperm,tree,broadleaved,24347.33,5,25.785,63,94.579,62,25.407,62,,,0.386,71,,,,0.386,5
Pourouma hirsutipetiolata,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.39,2,,,,0.39,1
Pourouma melinonii,species,Angiosperm,tree,broadleaved,22135.5,11,21.202,4,110.501,10,17.71,10,,,0.32,10,,,,0.32,5
Pourouma minor,species,Angiosperm,tree,broadleaved,19073.27,61,23.558,69,98.863,93,31.76,92,,,0.5,55,,,,0.5,5
Pourouma mollis,species,Angiosperm,tree,broadleaved,6583.42,3,21.367,6,122.913,6,30,1,,,0.484,8,,,,0.484,5
Pourouma myrmecophila,species,Angiosperm,tree,broadleaved,9500,1,,,,,,,,,,,,,,,1
Pourouma napoensis,species,Angiosperm,tree,broadleaved,37806.8,5,29.405,2,57.099,2,25,1,,,,,,,,,4
Pourouma petiolulata,species,Angiosperm,tree,broadleaved,9500,1,19.459,6,118.755,6,20,7,,,0.48,6,,,,0.48,5
Pourouma tomentosa,species,Angiosperm,tree,broadleaved,6136.09,7,18.302,10,138.696,7,28.723,8,,,0.431,14,,,,0.431,5
Pourouma tomentosa subsp persecta,variety or subspecies,Angiosperm,tree,broadleaved,12809.85,2,20.948,2,55.162,2,,,,,,,,,,,3
Pourouma velutina,species,Angiosperm,tree,broadleaved,9500,1,,,,,,,,,,,,,,,1
