Species name standardized against TPL,Taxonomic level,Phylogenetic Group General,Growth Form,Leaf type,Leaf area (mm2),Leaf area (n.o.),Nmass (mg/g),Nmass (n.o.),LMA (g/m2),LMA (n.o.),Plant height (m),Plant height (n.o.),Diaspore mass (mg),Diaspore mass (n.o.),SSD observed (mg/mm3),SSD (n.o.),LDMC (g/g),LDMC (n.o.),SSD imputed (mg/mm3),SSD combined (mg/mm3),Number of traits with values
Abarema adenophora,species,Angiosperm,tree,broadleaved,7161.55,5,24.374,6,87.066,4,,,,,0.648,4,,,,0.648,4
Abarema cochleata,species,Angiosperm,tree,,700,1,,,,,,,,,,,,,,,1
Abarema floribunda,species,Angiosperm,tree,,700,1,,,,,,,,,,,,,,,1
Abarema jupunba,species,Angiosperm,tree,broadleaved,369.48,16,28.815,18,72.118,14,35,13,122.951,16,0.55,29,,,,0.55,6
Abarema laeta,species,Angiosperm,tree,broadleaved,,,48.678,2,47.843,2,,,,,,,,,,,2
Abarema macradenia,species,Angiosperm,tree,broadleaved,,,23.39,1,134.727,6,31.666,2,90,7,0.43,3,,,,0.43,5
Abarema mataybifolia,species,Angiosperm,tree,broadleaved,,,36.997,22,57.537,7,10,7,,,0.48,7,,,,0.48,4
Abarema piresii,species,Angiosperm,tree,broadleaved,,,23.198,2,,,,,,,,,,,,,1
Abies alba,species,Gymnosperm,tree,needleleaved,32.42,13,26.4,174,106.045,129,42.074,59,62.007,17,0.499,469,,,,0.499,6
Abies amabilis,species,Gymnosperm,tree,needleleaved,,,9.449,26,,,45.957,24,45.512,15,0.42,2,,,,0.42,4
Abies balsamea,species,Gymnosperm,tree,needleleaved,35,,14.081,219,140.028,11,17.977,45,6.711,22,0.42,8,,,,0.42,6
Abies beshanzuensis,species,Gymnosperm,tree,,,,,,,,11,2,,,,,,,,,1
Abies borisii-regis,species,Gymnosperm,tree,needleleaved,,,,,,,30,3,,,,,,,,,1
Abies bracteata,species,Gymnosperm,tree,needleleaved,,,,,,,20.083,8,35.71,1,,,,,,,2
Abies cephalonica,species,Gymnosperm,tree,needleleaved,,,,,,,27.366,16,71.43,1,,,,,,,2
Abies chensiensis,species,Gymnosperm,tree,needleleaved,,,,,,,50,4,,,,,,,,,1
Abies cilicica,species,Gymnosperm,tree,needleleaved,,,,,,,30,4,115.38,1,,,,,,,2
Abies concolor,species,Gymnosperm,tree,needleleaved,75.99,40,13.003,12,208.855,69,43.946,34,34.719,30,0.4,26,,,,0.4,6
Abies delavayi,species,Gymnosperm,tree,needleleaved,,,,,,,40,5,,,0.4,3,,,,0.4,2
Abies fabri,species,Gymnosperm,tree,needleleaved,,,,,,,40,1,,,0.37,2,,,,0.37,2
Abies fargesii,species,Gymnosperm,tree,needleleaved,,,,,,,40,5,,,0.34,2,,,,0.34,2
Abies fargesii var. faxoniana,variety or subspecies,Gymnosperm,tree,needleleaved,,,,,,,40,2,,,0.38,2,,,,0.38,2
Abies firma,species,Gymnosperm,tree,needleleaved,,,,,,,50,7,40.104,7,,,,,,,2
Abies forrestii,species,Gymnosperm,tree,needleleaved,,,,,,,20,2,,,0.35,2,,,,0.35,2
Abies forrestii var. georgei,variety or subspecies,Gymnosperm,tree,needleleaved,,,,,,,30,2,,,0.43,4,,,,0.43,2
Abies fraseri,species,Gymnosperm,tree,needleleaved,34.6,,17.839,9,182.054,90,20.356,20,7.139,15,0.525,,,,,0.525,6
Abies grandis,species,Gymnosperm,tree,needleleaved,180,1,14.6,2,212.766,6,54.917,50,17.579,22,0.42,4,,,,0.42,6
Abies guatemalensis,species,Gymnosperm,tree,needleleaved,,,,,,,,,,,0.43,4,,,,0.43,1
Abies holophylla,species,Gymnosperm,tree,needleleaved,,,,,,,44.721,7,,,0.33,3,,,,0.33,2
Abies homolepis,species,Gymnosperm,tree,needleleaved,,,,,,,26.207,6,17.086,8,,,,,,,2
Abies kawakamii,species,Gymnosperm,tree,needleleaved,,,,,,,20,5,,,,,,,,,1
Abies koreana,species,Gymnosperm,tree,needleleaved,,,,,,,13.925,9,10,1,,,,,,,2
Abies lasiocarpa,species,Gymnosperm,tree,needleleaved,35.04,11,13.439,54,276.007,45,26.655,33,12.66,34,0.32,30,,,,0.32,6
Abies lasiocarpa var. arizonica,variety or subspecies,Gymnosperm,tree,needleleaved,,,,,,,,,,,0.28,2,,,,0.28,1
Abies magnifica,species,Gymnosperm,tree,needleleaved,,,,,,,45.778,18,75.751,31,0.42,2,,,,0.42,3
Abies magnifica var. shastensis,variety or subspecies,Gymnosperm,tree,needleleaved,,,,,,,54.86,2,79.73,1,,,,,,,2
Abies mariesii,species,Gymnosperm,tree,needleleaved,,,,,,,30,7,24.916,7,,,,,,,2
Abies nebrodensis,species,Gymnosperm,tree,needleleaved,,,,,,,15,1,,,,,,,,,1
Abies nephrolepis,species,Gymnosperm,tree,needleleaved,,,14.1,3,,,45,5,,,0.32,8,,,,0.32,3
Abies nordmanniana,species,Gymnosperm,tree,needleleaved,,,,,,,42.486,24,72.866,10,,,,,,,2
Abies nordmanniana subsp. equi-trojani,variety or subspecies,Gymnosperm,tree,needleleaved,,,,,,,27.5,2,,,0.41,1,,,,0.41,2
Abies numidica,species,Gymnosperm,tree,needleleaved,,,,,,,20,4,33.22,1,,,,,,,2
Abies pindrow,species,Gymnosperm,tree,needleleaved,,,,,,,60,2,18.33,1,0.38,2,,,,0.38,3
Abies pinsapo,species,Gymnosperm,tree,needleleaved,,,,,,,25.718,15,55.297,2,0.41,4,,,,0.41,3
Abies procera,species,Gymnosperm,tree,needleleaved,,,,,75.815,2,61.366,30,34.109,13,0.4,2,,,,0.4,4
Abies recurvata,species,Gymnosperm,tree,needleleaved,,,,,,,40,5,,,,,,,,,1
Abies recurvata var. ernestii,variety or subspecies,Gymnosperm,tree,needleleaved,,,,,,,60,2,,,0.36,2,,,,0.36,2
Abies religiosa,species,Gymnosperm,tree,needleleaved,,,,,,,,,33.687,2,0.38,2,,,,0.38,2
Abies sachalinensis,species,Gymnosperm,tree,needleleaved,,,10.8,1,,,40,5,9.348,8,,,,,,,3
Abies sibirica,species,Gymnosperm,tree,needleleaved,,,,,,,40,5,10,1,,,,,,,2
Abies spectabilis,species,Gymnosperm,tree,needleleaved,,,,,,,65,7,37.04,1,,,,,,,2
Abies squamata,species,Gymnosperm,tree,needleleaved,,,,,,,40,5,,,,,,,,,1
Abies veitchii,species,Gymnosperm,tree,needleleaved,,,,,,,27.386,9,8.872,8,,,,,,,2
Abies vejarii,species,Gymnosperm,tree,needleleaved,,,,,,,,,20,1,,,,,,,1
Abies yuanbaoshanensis,species,Gymnosperm,tree,,,,,,,,25,2,,,,,,,,,1
Abies ziyuanensis,species,Gymnosperm,tree,,,,,,,,30,2,,,,,,,,,1
Abrahamia ditimena,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.675,4,,,,0.675,1
Acacia abyssinica,species,Angiosperm,tree,broadleaved,,,,,,,12.164,3,69.855,18,,,,,,,2
Acacia acrionastes,species,Angiosperm,tree,broadleaved,,,,,,,,,20.42,6,,,,,,,1
Acacia acuifera,species,Angiosperm,tree,broadleaved,,,,,,,,,15.31,6,,,,,,,1
Acacia albicorticata,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.49,2,,,,0.49,1
Acacia alleniana,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.55,2,,,,0.55,1
Acacia allenii,species,Angiosperm,tree,broadleaved,,,,,,,,,22.7,11,,,,,,,1
Acacia amabilis,species,Angiosperm,tree,broadleaved,,,,,,,,,181.81,6,,,,,,,1
Acacia ammobia,species,Angiosperm,tree,broadleaved,,,,,,,,,8.107,8,,,,,,,1
Acacia amoena,species,Angiosperm,tree,broadleaved,,,,,,,,,6.961,11,,,,,,,1
Acacia ampliceps,species,Angiosperm,tree,broadleaved,,,,,,,,,26.5,7,0.56,2,,,,0.56,2
Acacia amythethophylla,species,Angiosperm,tree,broadleaved,,,,,,,5.477,,103.302,7,1,2,,,,1,3
Acacia ancistrocarpa,species,Angiosperm,tree,broadleaved,,,,,,,,,41.954,7,,,,,,,1
Acacia anegadensis,species,Angiosperm,tree,broadleaved,,,,,,,,,19.83,6,,,,,,,1
Acacia anfractuosa,species,Angiosperm,tree,broadleaved,,,,,,,,,3.75,6,,,,,,,1
Acacia angustissima,species,Angiosperm,tree,broadleaved,,,,,,,,,10.407,19,,,,,,,1
Acacia argyrophylla,species,Angiosperm,tree,broadleaved,,,,,,,,,58.76,6,,,,,,,1
Acacia ascendens,species,Angiosperm,tree,broadleaved,,,,,,,,,5.61,6,,,,,,,1
Acacia aspera,species,Angiosperm,tree,broadleaved,,,,,,,,,12.86,16,,,,,,,1
Acacia assimilis,species,Angiosperm,tree,broadleaved,,,,,,,,,2.569,12,,,,,,,1
Acacia atkinsiana,species,Angiosperm,tree,broadleaved,,,,,,,,,10.23,6,0.89,2,,,,0.89,2
Acacia aulacocarpa,species,Angiosperm,tree,broadleaved,3019,2,,,,,17.558,8,19.219,23,0.635,14,,,,0.635,4
Acacia auriculiformis,species,Angiosperm,tree,broadleaved,4000,2,21.037,18,105.063,8,30,,19.014,24,0.511,8,,,,0.511,6
Acacia ausfeldii,species,Angiosperm,tree,broadleaved,,,,,,,,,11.67,6,,,,,,,1
Acacia baileyana,species,Angiosperm,tree,broadleaved,,,,,,,7.071,2,21.864,14,,,,,,,2
Acacia bakeri,species,Angiosperm,tree,broadleaved,,,,,,,,,39.79,6,0.77,2,,,,0.77,2
Acacia baueri,species,Angiosperm,tree,broadleaved,,,,,,,,,13.58,6,,,,,,,1
Acacia beauverdiana,species,Angiosperm,tree,broadleaved,,,,,,,,,2.87,6,,,,,,,1
Acacia beckleri,species,Angiosperm,tree,broadleaved,,,,,,,,,17.8,11,,,,,,,1
Acacia betchei,species,Angiosperm,tree,broadleaved,,,,,,,,,32.31,6,,,,,,,1
Acacia bidwillii,species,Angiosperm,tree,broadleaved,,,,,,,,,73.66,8,0.67,2,,,,0.67,2
Acacia bifaria,species,Angiosperm,tree,broadleaved,,,,,,,,,3.92,6,,,,,,,1
Acacia binervia,species,Angiosperm,tree,broadleaved,,,,,,,,,10.24,6,,,,,,,1
Acacia bivenosa,species,Angiosperm,tree,broadleaved,,,,,,,,,26.66,6,0.635,4,,,,0.635,2
Acacia blakei,species,Angiosperm,tree,broadleaved,,,,,,,,,6.59,6,,,,,,,1
Acacia blakelyi,species,Angiosperm,tree,broadleaved,,,,,,,,,23.13,6,,,,,,,1
Acacia boormanii,species,Angiosperm,tree,broadleaved,,,,,,,,,12.614,7,,,,,,,1
Acacia botrydion,species,Angiosperm,tree,broadleaved,,,,,,,,,19.47,6,,,,,,,1
Acacia brachystachya,species,Angiosperm,tree,broadleaved,88.68,7,,,280.607,10,2.893,11,31.046,17,0.99,4,,,,0.99,5
Acacia brassii,species,Angiosperm,tree,broadleaved,,,,,,,,,7.84,6,,,,,,,1
Acacia browniana,species,Angiosperm,tree,broadleaved,,,,,,,,,4.59,6,,,,,,,1
Acacia brumalis,species,Angiosperm,tree,broadleaved,,,,,,,,,16.19,6,,,,,,,1
Acacia burbidgeae,species,Angiosperm,tree,broadleaved,,,,,,,,,8.06,6,,,,,,,1
Acacia burkei,species,Angiosperm,tree,broadleaved,,,20.29,1,,,8.689,14,127.42,6,,,,,,,3
Acacia bussei,species,Angiosperm,tree,broadleaved,,,,,,,,,24.38,6,,,,,,,1
Acacia buxifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,14.347,17,,,,,,,1
Acacia caerulescens,species,Angiosperm,tree,broadleaved,,,,,,,,,37.86,6,,,,,,,1
Acacia caesia,species,Angiosperm,tree,broadleaved,22.91,6,,,,,14.491,2,,,,,,,,,2
Acacia caffra,species,Angiosperm,tree,broadleaved,,,26.876,2,,,4.161,16,43.58,6,,,,,,,3
Acacia calamifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,20.632,13,,,,,,,1
Acacia calcicola,species,Angiosperm,tree,broadleaved,,,,,,,,,45,7,,,,,,,1
Acacia cambagei,species,Angiosperm,tree,broadleaved,397,1,,,,,10,3,27.841,12,1.077,10,,,,1.077,4
Acacia cardiophylla,species,Angiosperm,tree,broadleaved,,,,,,,,,14.046,12,,,,,,,1
Acacia catechu,species,Angiosperm,tree,broadleaved,,,17.412,2,,,15,1,42.658,13,0.78,4,,,,0.78,4
Acacia chalkeri,species,Angiosperm,tree,broadleaved,,,,,,,,,7.659,,,,,,,,1
Acacia chapmanii,species,Angiosperm,tree,broadleaved,,,,,,,,,3.08,12,,,,,,,1
Acacia chisholmii,species,Angiosperm,tree,broadleaved,,,,,,,,,15.92,6,0.789,4,,,,0.789,2
Acacia chrysotricha,species,Angiosperm,tree,broadleaved,,,,,,,,,16.6,6,,,,,,,1
Acacia chundra,species,Angiosperm,tree,broadleaved,,,,,,,,,133,4,0.98,2,,,,0.98,2
Acacia cincinnata,species,Angiosperm,tree,broadleaved,3019,1,,,,,20,1,11.803,7,,,,,,,3
Acacia citrinoviridis,species,Angiosperm,tree,broadleaved,,,,,,,,,36.53,6,0.844,4,,,,0.844,2
Acacia clandullensis,species,Angiosperm,tree,broadleaved,,,,,,,,,32.86,6,,,,,,,1
Acacia clydonophora,species,Angiosperm,tree,broadleaved,,,,,,,,,22.91,6,,,,,,,1
Acacia cochliacantha,species,Angiosperm,tree,broadleaved,,,,,,,,,30.137,7,,,,,,,1
Acacia collinsii,species,Angiosperm,tree,broadleaved,,,36.18,1,,,,,36.87,7,0.8,2,,,,0.8,3
Acacia compacta,species,Angiosperm,tree,broadleaved,,,,,,,,,35.55,6,,,,,,,1
Acacia complanata,species,Angiosperm,tree,broadleaved,,,,,,,,,47.004,7,,,,,,,1
Acacia concurrens,species,Angiosperm,tree,broadleaved,,,,,,,,,10.549,7,0.75,2,,,,0.75,2
Acacia conferta,species,Angiosperm,tree,broadleaved,,,,,,,,,12.142,11,,,,,,,1
Acacia confusa,species,Angiosperm,tree,broadleaved,,,29.6,2,126.422,2,,,30.729,12,0.729,8,,,,0.729,4
Acacia congesta,species,Angiosperm,tree,broadleaved,,,,,,,,,13.194,12,,,,,,,1
Acacia constablei,species,Angiosperm,tree,broadleaved,,,,,,,,,14.6,6,,,,,,,1
Acacia continua,species,Angiosperm,tree,broadleaved,,,,,,,,,6.632,12,,,,,,,1
Acacia coolgardiensis,species,Angiosperm,tree,broadleaved,,,,,,,,,2.57,6,,,,,,,1
Acacia cornigera,species,Angiosperm,tree,broadleaved,,,,,,,8,1,75.401,9,,,,,,,2
Acacia coulteri,species,Angiosperm,tree,broadleaved,,,,,,,,,93.87,6,,,,,,,1
Acacia cowleana,species,Angiosperm,tree,broadleaved,,,,,,,7,2,10.418,12,,,,,,,2
Acacia craspedocarpa,species,Angiosperm,tree,broadleaved,,,,,,,,,84.8,11,0.88,2,,,,0.88,2
Acacia crassicarpa,species,Angiosperm,tree,broadleaved,3019,1,,,,,6,1,24.966,7,0.581,12,,,,0.581,4
Acacia crassiuscula,species,Angiosperm,tree,broadleaved,,,,,,,,,4.95,11,,,,,,,1
Acacia curranii,species,Angiosperm,tree,broadleaved,,,,,,,,,4.33,6,,,,,,,1
Acacia cyperophylla,species,Angiosperm,tree,broadleaved,,,,,,,14,2,11.9,11,,,,,,,2
Acacia dallachiana,species,Angiosperm,tree,broadleaved,,,,,,,,,15.37,6,,,,,,,1
Acacia dawsonii,species,Angiosperm,tree,broadleaved,,,,,,,,,4.498,16,,,,,,,1
Acacia deanei,species,Angiosperm,tree,broadleaved,8.07,2,,,192.308,3,6,2,17.235,13,,,,,,,4
Acacia decurrens,species,Angiosperm,tree,broadleaved,,,,,106.952,1,4,6,20.056,34,0.552,8,,,,0.552,4
Acacia deficiens,species,Angiosperm,tree,broadleaved,,,,,,,,,8.53,6,,,,,,,1
Acacia desmondii,species,Angiosperm,tree,broadleaved,,,,,,,6,2,4.679,11,,,,,,,2
Acacia dictyoneura,species,Angiosperm,tree,broadleaved,,,,,,,,,8.4,6,,,,,,,1
Acacia dictyophleba,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.76,2,,,,0.76,1
Acacia difficilis,species,Angiosperm,tree,broadleaved,,,,,,,9,2,19.599,11,0.775,4,,,,0.775,3
Acacia difformis,species,Angiosperm,tree,broadleaved,,,,,,,,,45.453,7,,,,,,,1
Acacia disticha,species,Angiosperm,tree,broadleaved,,,,,,,,,7.22,6,,,,,,,1
Acacia dodonaeifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,20.39,6,,,,,,,1
Acacia dolichostachya,species,Angiosperm,tree,broadleaved,,,,,,,,,38.385,7,,,,,,,1
Acacia drepanolobium,species,Angiosperm,tree,broadleaved,,,,,,,,,41.809,7,,,,,,,1
Acacia drepanophylla,species,Angiosperm,tree,broadleaved,,,,,,,,,23.9,6,,,,,,,1
Acacia drummondii,species,Angiosperm,tree,broadleaved,,,,,,,,,5.86,26,,,,,,,1
Acacia dudgeoni,species,Angiosperm,tree,broadleaved,,,28.361,9,77.212,9,,,107.436,13,,,,,,,3
Acacia ebutsiniorum,species,Angiosperm,tree,broadleaved,,,,,,,,,39.25,6,,,,,,,1
Acacia ehrenbergiana,species,Angiosperm,tree,broadleaved,,,,,,,,,20.91,6,,,,,,,1
Acacia elata,species,Angiosperm,tree,broadleaved,,,,,,,10.392,4,31.854,15,0.51,2,,,,0.51,3
Acacia elongata,species,Angiosperm,tree,broadleaved,,,,,,,,,8.778,19,,,,,,,1
Acacia erioloba,species,Angiosperm,tree,broadleaved,,,27.373,10,105,,9.874,,357.083,13,1.05,2,,,,1.05,5
Acacia eriopoda,species,Angiosperm,tree,broadleaved,,,,,,,,,6.52,6,0.9,2,,,,0.9,2
Acacia errabunda,species,Angiosperm,tree,broadleaved,,,,,,,,,9.85,6,,,,,,,1
Acacia erubescens,species,Angiosperm,tree,broadleaved,,,38.8,2,,,4.472,2,,,,,,,,,2
Acacia estrophiolata,species,Angiosperm,tree,broadleaved,,,,,,,16,2,37.52,11,,,,,,,2
Acacia etbaica,species,Angiosperm,tree,broadleaved,,,,,,,,,42.225,18,,,,,,,1
Acacia excelsa,species,Angiosperm,tree,broadleaved,167,1,,,234.192,1,10,7,21.521,22,0.93,4,,,,0.93,5
Acacia extensa,species,Angiosperm,tree,broadleaved,,,,,,,,,12.321,13,,,,,,,1
Acacia falciformis,species,Angiosperm,tree,broadleaved,,,,,,,,,41.983,13,,,,,,,1
Acacia fasciculifera,species,Angiosperm,tree,broadleaved,675,1,,,,,,,,,0.96,2,,,,0.96,2
Acacia ferruginea,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.88,2,,,,0.88,1
Acacia filicifolia,species,Angiosperm,tree,broadleaved,,,,,,,4,2,12.598,11,,,,,,,2
Acacia filifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,3.55,6,,,,,,,1
Acacia flavescens,species,Angiosperm,tree,broadleaved,,,,,,,,,32.102,7,,,,,,,1
Acacia flexifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,7.18,6,,,,,,,1
Acacia flocktoniae,species,Angiosperm,tree,broadleaved,,,,,,,,,5.47,11,,,,,,,1
Acacia gageana,species,Angiosperm,tree,broadleaved,41.45,4,,,,,12.599,4,,,,,,,,,2
Acacia galpinii,species,Angiosperm,tree,broadleaved,,,,,,,14.142,2,277.89,8,0.65,2,,,,0.65,3
Acacia gaumeri,species,Angiosperm,tree,broadleaved,,,,,,,,,32.544,7,,,,,,,1
Acacia gentlei,species,Angiosperm,tree,broadleaved,,,,,,,,,56.386,8,,,,,,,1
Acacia georginae,species,Angiosperm,tree,broadleaved,,,,,,,8,2,58.5,11,0.77,2,,,,0.77,3
Acacia gerrardii,species,Angiosperm,tree,broadleaved,1807.92,6,28.219,2,161.657,6,11,17,67.862,18,0.77,9,,,,0.77,6
Acacia gladiiformis,species,Angiosperm,tree,broadleaved,,,,,,,,,25.91,6,,,,,,,1
Acacia glandulicarpa,species,Angiosperm,tree,broadleaved,,,,,,,,,6.929,7,,,,,,,1
Acacia glauca,species,Angiosperm,tree,broadleaved,,,,,,,5,1,7.69,7,,,,,,,2
Acacia glaucocarpa,species,Angiosperm,tree,broadleaved,,,,,,,,,22.018,7,0.78,2,,,,0.78,2
Acacia glomerosa,species,Angiosperm,tree,broadleaved,18.36,2,,,,,30,1,184.78,6,,,,,,,3
Acacia gnidium,species,Angiosperm,tree,broadleaved,,,,,,,,,6.85,7,,,,,,,1
Acacia goetzei,species,Angiosperm,tree,broadleaved,,,,,,,7.746,2,,,0.88,2,,,,0.88,2
Acacia gordonii,species,Angiosperm,tree,broadleaved,,,,,,,,,13.49,6,,,,,,,1
Acacia gourmaensis,species,Angiosperm,tree,broadleaved,,,26.232,9,71.04,9,,,74.939,7,,,,,,,3
Acacia grandicornuta,species,Angiosperm,tree,broadleaved,2686.51,6,25.36,1,125.626,6,6.698,14,78.89,6,,,,,,,5
Acacia granitica,species,Angiosperm,tree,broadleaved,,,,,,,,,10.31,6,,,,,,,1
Acacia grasbyi,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.976,6,,,,0.976,1
Acacia gummifera,species,Angiosperm,tree,broadleaved,,,,,,,,,308.45,6,,,,,,,1
Acacia gunnii,species,Angiosperm,tree,broadleaved,,,,,,,,,13.25,6,,,,,,,1
Acacia hamulosa,species,Angiosperm,tree,broadleaved,,,,,,,,,75.04,6,,,,,,,1
Acacia harpophylla,species,Angiosperm,tree,broadleaved,,,,,,,,,55.911,7,0.892,8,,,,0.892,2
Acacia hemignosta,species,Angiosperm,tree,broadleaved,,,,,,,10,2,47.603,10,0.64,2,,,,0.64,3
Acacia hemiteles,species,Angiosperm,tree,broadleaved,,,,,,,,,31.652,11,,,,,,,1
Acacia hemsleyi,species,Angiosperm,tree,broadleaved,,,,,,,,,16.75,6,0.6,2,,,,0.6,2
Acacia heteroclita,species,Angiosperm,tree,broadleaved,,,,,,,,,8.59,6,,,,,,,1
Acacia hindsii,species,Angiosperm,tree,broadleaved,,,,,,,,,38.5,7,,,,,,,1
Acacia hispidula,species,Angiosperm,tree,broadleaved,,,,,,,,,44.997,11,,,,,,,1
Acacia homalophylla,species,Angiosperm,tree,broadleaved,285.27,3,,,310.853,4,5.477,5,13.601,12,,,,,,,4
Acacia howittii,species,Angiosperm,tree,broadleaved,,,,,,,,,4.915,12,,,,,,,1
Acacia humifusa,species,Angiosperm,tree,broadleaved,,,,,,,,,26.6,6,,,,,,,1
Acacia inaequilatera,species,Angiosperm,tree,broadleaved,,,,,,,,,41.98,6,,,,,,,1
Acacia insolita,species,Angiosperm,tree,broadleaved,,,,,,,,,11.11,6,,,,,,,1
Acacia iteaphylla,species,Angiosperm,tree,broadleaved,,,,,,,,,30.142,11,,,,,,,1
Acacia ixiophylla,species,Angiosperm,tree,broadleaved,,,,,,,,,6.711,12,,,,,,,1
Acacia jennerae,species,Angiosperm,tree,broadleaved,,,,,,,,,71.66,6,0.74,2,,,,0.74,2
Acacia johnwoodii,species,Angiosperm,tree,broadleaved,,,,,,,,,136.56,6,,,,,,,1
Acacia juncifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,8.765,22,,,,,,,1
Acacia kettlewelliae,species,Angiosperm,tree,broadleaved,,,,,,,,,18.318,7,,,,,,,1
Acacia kirkii,species,Angiosperm,tree,broadleaved,,,,,,,6.124,2,53.14,6,,,,,,,2
Acacia koa,species,Angiosperm,tree,broadleaved,2042.29,,24.987,3,119.989,2,18.44,4,140.273,12,0.61,,,,,0.61,6
Acacia koaia,species,Angiosperm,tree,broadleaved,,,,,,,12.19,2,11.09,1,,,,,,,2
Acacia kosiensis,species,Angiosperm,tree,broadleaved,,,,,,,,,72.18,6,,,,,,,1
Acacia kraussiana,species,Angiosperm,tree,broadleaved,,,,,,,3.464,2,107.46,6,,,,,,,2
Acacia laccata,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.72,2,,,,0.72,1
Acacia laeta,species,Angiosperm,tree,broadleaved,,,,,,,,,87.414,7,,,,,,,1
Acacia lanigera,species,Angiosperm,tree,broadleaved,,,,,,,,,12.541,18,,,,,,,1
Acacia lasiocalyx,species,Angiosperm,tree,broadleaved,,,,,,,,,24.035,11,0.68,2,,,,0.68,2
Acacia lasiopetala,species,Angiosperm,tree,broadleaved,,,,,,,3.464,2,,,,,,,,,1
Acacia latescens,species,Angiosperm,tree,broadleaved,,,,,,,,,94,4,,,,,,,1
Acacia latisepala,species,Angiosperm,tree,broadleaved,,,,,,,,,66.22,6,,,,,,,1
Acacia latzii,species,Angiosperm,tree,broadleaved,,,,,,,5,2,12.64,11,,,,,,,2
Acacia legnota,species,Angiosperm,tree,broadleaved,,,,,,,,,36.33,6,,,,,,,1
Acacia leiocalyx,species,Angiosperm,tree,broadleaved,,,,,,,,,5.688,17,,,,,,,1
Acacia leiophylla,species,Angiosperm,tree,broadleaved,,,,,,,,,9.108,11,,,,,,,1
Acacia leprosa,species,Angiosperm,tree,broadleaved,,,,,,,,,5.339,17,,,,,,,1
Acacia leptocarpa,species,Angiosperm,tree,broadleaved,,,,,,,,,11.583,7,,,,,,,1
Acacia leptoclada,species,Angiosperm,tree,broadleaved,,,,,,,,,10.963,7,,,,,,,1
Acacia leucoclada,species,Angiosperm,tree,broadleaved,,,,,,,,,17.21,6,,,,,,,1
Acacia leucophloea,species,Angiosperm,tree,broadleaved,,,17.65,4,,,,,24,7,0.592,6,,,,0.592,3
Acacia lineolata,species,Angiosperm,tree,broadleaved,,,,,,,,,2.72,6,,,,,,,1
Acacia lirellata,species,Angiosperm,tree,broadleaved,,,,,,,,,3.341,12,,,,,,,1
Acacia longifolia subsp. sophorae,variety or subspecies,Angiosperm,tree,broadleaved,,,,,,,,,18.2,12,,,,,,,1
Acacia longispicata,species,Angiosperm,tree,broadleaved,,,,,,,,,12.51,6,,,,,,,1
Acacia longispinea,species,Angiosperm,tree,broadleaved,,,,,,,,,5,6,,,,,,,1
Acacia lysiphloia,species,Angiosperm,tree,broadleaved,,,,,,,,,17.88,6,,,,,,,1
Acacia mabellae,species,Angiosperm,tree,broadleaved,,,,,,,,,14.274,11,,,,,,,1
Acacia macilenta,species,Angiosperm,tree,broadleaved,,,,,,,,,62.82,6,,,,,,,1
Acacia macnuttiana,species,Angiosperm,tree,broadleaved,,,,,,,,,26.27,6,,,,,,,1
Acacia maconochieana,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.8,4,,,,0.8,1
Acacia macracantha,species,Angiosperm,tree,broadleaved,,,,,,,7.01,1,41.205,8,0.73,2,,,,0.73,3
Acacia macrostachya,species,Angiosperm,tree,broadleaved,,,,,,,4.072,4,66.884,8,,,,,,,2
Acacia maidenii,species,Angiosperm,tree,broadleaved,,,,,,,,,13.545,16,0.62,2,,,,0.62,2
Acacia mangium,species,Angiosperm,tree,broadleaved,9050,1,23.391,3,65.789,4,12,1,14.144,13,0.49,20,,,,0.49,6
Acacia mayana,species,Angiosperm,tree,broadleaved,,,,,,,7,1,250,7,0.73,1,,,,0.73,3
Acacia mearnsii,species,Angiosperm,tree,broadleaved,1.8,,26.296,3,106.029,8,4.387,4,14.008,19,0.625,8,,,,0.625,6
Acacia megacephala,species,Angiosperm,tree,broadleaved,,,,,,,,,7.73,6,,,,,,,1
Acacia meiantha,species,Angiosperm,tree,broadleaved,,,,,,,,,5.62,6,,,,,,,1
Acacia meisneri,species,Angiosperm,tree,broadleaved,,,,,,,,,42.02,7,,,,,,,1
Acacia melanoxylon,species,Angiosperm,tree,broadleaved,1088.96,3,24.1,20,120.024,40,9.206,16,12.99,36,0.529,16,,,,0.529,6
Acacia merrallii,species,Angiosperm,tree,broadleaved,,,,,,,,,0.57,6,,,,,,,1
Acacia microbotrya,species,Angiosperm,tree,broadleaved,,,,,,,,,28.67,6,,,,,,,1
