,Time,ACER.SAH_g/m2,AllSpp_g/m2
0,0,4,4
1,10,8,8
2,20,19,19
3,30,41,41
4,40,85,85
5,50,170,170
6,60,325,325
7,70,586,586
8,80,986,986
9,90,1508,1508
10,100,2145,2145
11,110,2834,2834
12,120,3499,3499
13,130,4094,4094
14,140,4556,4556
15,150,4866,4866
16,160,5049,5049
17,170,5109,5109
18,180,5018,5018
19,190,4769,4769
20,200,4336,4336
21,210,3751,3751
22,220,3029,3029
23,230,2274,2274
24,240,1548,1548
25,250,950,950
26,260,518,518
27,270,0,0
28,280,0,0
29,290,0,0
30,300,0,0
